bookID,average_rating,isbn13,  num_pages,ratings_count,text_reviews_count
1,4.57,9780439785969,652,2095690.0,27591
2,4.49,9780439358071,870,2153167.0,29221
4,4.42,9780439554893,352,6333.0,244
5,4.56,9780439655484,435,2339585.0,36325
8,4.78,9780439682589,2690,41428.0,164
9,3.74,9780976540601,152,19.0,1
10,4.73,9780439827607,3342,28242.0,808
12,4.38,9780517226957,815,3628.0,254
13,4.38,9780345453747,815,249558.0,4080
14,4.22,9781400052929,215,4930.0,460
16,4.22,9780739322208,6,1266.0,253
18,4.38,9780517149256,815,2877.0,195
21,4.21,9780767908184,544,248558.0,9396
22,3.44,9780767915069,55,7270.0,499
23,3.87,9780767910439,256,2088.0,131
24,4.07,9780767903868,335,72451.0,4245
25,3.9,9780767903820,304,49240.0,2211
26,3.83,9780060920081,299,45712.0,2257
27,3.86,9780380713806,254,48701.0,2238
28,3.91,9780380727506,324,80609.0,3301
29,3.93,9780380715435,270,28489.0,2085
30,4.59,9780345538376,1728,101233.0,1550
31,4.5,9780618517657,1184,1710.0,91
34,4.36,9780618346257,398,2128944.0,13670
35,4.5,9780618260584,1216,1618.0,140
36,4.53,9780618391004,218,19822.0,46
37,4.5,9780618510825,224,359.0,6
45,3.84,9780976694007,558,1430.0,59
50,3.72,9780689840920,208,270244.0,12017
51,4.0,9781557344496,48,36.0,2
53,3.88,9780385326506,144,2067.0,334
54,4.33,9781575606248,56,6.0,0
55,3.45,9781595580276,228,99.0,16
57,3.76,9781595962805,304,167.0,4
58,3.6,9780670059676,256,978.0,111
59,4.06,9780141312620,137,4454.0,302
61,4.17,9780595321803,228,1176.0,96
63,3.55,9781590301944,339,301.0,43
66,3.98,9780449146972,369,345.0,12
67,3.83,9780061159176,388,29686.0,2626
68,3.83,9780060762735,14,55.0,12
69,3.83,9780060749910,576,22.0,3
71,3.83,9780273704744,334,1456.0,82
72,4.13,9781932386103,352,52.0,4
74,4.42,9780374517199,416,562.0,37
75,3.95,9780374280390,248,1630.0,203
76,4.17,9780374519742,128,268.0,22
77,4.24,9780374522599,288,3498.0,305
78,4.34,9780374518738,720,3115.0,228
79,4.22,9780374522872,448,5704.0,261
80,3.92,9780374519322,160,698.0,52
81,4.23,9780374516000,288,542.0,36
83,4.23,9780374520656,208,1341.0,98
85,3.75,9780822205104,81,1423.0,70
86,3.84,9780679734994,249,2766.0,64
89,3.94,9781596670235,138,31.0,1
90,3.77,9781581807745,128,62.0,4
91,4.46,9780800793616,192,860.0,53
92,3.68,9780871202864,108,77.0,2
93,3.99,9780753454947,352,153317.0,2257
94,3.25,9780871209993,192,55.0,5
96,4.46,9781852402877,192,34.0,6
98,3.89,9780761129585,832,11797.0,659
99,3.82,9780972016414,123,34.0,8
100,3.78,9781581805635,128,78.0,4
103,3.84,9780441294671,423,2785.0,166
105,3.91,9780441102679,436,38778.0,568
106,3.88,9780441172696,331,97494.0,2359
107,4.01,9780765306470,592,784.0,21
109,3.86,9780399128981,480,272.0,20
110,3.88,9780765353702,426,4789.0,83
117,3.86,9780441328000,471,45388.0,644
119,4.59,9780618212903,192,26153.0,102
122,4.35,9780345410054,544,69167.0,4551
123,4.35,9780385732543,291,45.0,13
129,4.28,9780785260059,256,16.0,1
130,3.34,9780471780939,205,174.0,16
131,3.67,9780325001531,240,10.0,0
132,3.48,9780060762872,336,76.0,9
133,3.5,9780470045299,386,111.0,9
135,3.62,9780072262780,260,24.0,0
137,3.55,9780764569241,384,55.0,4
138,4.27,9780471933823,260,9.0,0
139,3.39,9780764559914,391,22.0,1
140,3.89,9780764584381,864,17.0,3
141,3.84,9780596523695,873,166.0,4
142,4.12,9780806523491,240,50.0,5
144,4.08,9780806525365,206,13.0,2
147,3.48,9780596527310,514,64.0,1
151,4.05,9780143035008,838,16643.0,1851
152,4.05,9780451528612,960,109420.0,5696
153,4.05,9780140449174,837,2904.0,309
154,3.85,9780822001836,80,16.0,3
155,4.05,9781593080273,803,9564.0,726
156,4.05,9780486437965,752,474.0,72
157,4.05,9781593081775,803,303.0,48
159,2.99,9780778322276,360,411.0,65
160,4.19,9780521313254,128,1204.0,33
162,3.71,9780140183955,160,3429.0,279
163,3.95,9780679767473,367,2163.0,216
164,3.89,9781568491981,256,613.0,31
165,3.82,9780743270793,320,308.0,40
166,4.2,9780932863058,100,10.0,0
168,3.65,9780742508804,224,16.0,4
171,3.4,9780205358625,216,10.0,0
177,4.0,9781557344038,48,17.0,0
180,4.01,9780380720446,360,1035.0,23
181,4.0,9780821925324,250,36.0,6
182,3.6,9780439271691,32,15.0,0
201,4.0,9780606105262,205,6.0,1
204,4.12,9780751506433,367,376.0,17
205,4.11,9780060786717,352,3086.0,237
207,3.94,9780743499347,320,352.0,44
208,3.6,9780765313409,331,9852.0,633
213,3.9,9781400032495,244,821.0,78
214,4.05,9781400032488,215,731.0,72
216,3.94,9781400032464,191,2897.0,178
230,3.89,9780679732525,144,98.0,11
231,3.42,9780312424442,738,20888.0,1688
237,3.91,9780806930770,48,66.0,19
244,4.02,9780140366600,287,81.0,6
245,4.22,9780811201124,217,981.0,52
247,3.69,9780802130167,154,3381.0,141
249,3.68,9780802131782,318,53206.0,2376
250,3.78,9780802151827,348,14872.0,459
251,4.1,9780802151780,316,3261.0,58
252,3.98,9780802151803,506,7805.0,251
253,3.83,9780811201063,292,2699.0,142
264,3.78,9780141439631,797,61640.0,1951
269,3.78,9781593080969,635,392.0,41
277,3.75,9781571290533,91,778.0,44
278,3.85,9781565842212,192,963.0,65
280,3.66,9780394743042,181,2057.0,128
285,3.68,9781851681822,178,203.0,8
288,4.21,9781566562492,464,35.0,2
289,4.19,9780140195538,102,328.0,16
290,3.98,9780394431246,216,1308.0,82
291,3.92,9780806501901,132,6432.0,517
292,4.08,9780679439202,100,3015.0,217
295,3.83,9780753453803,311,318753.0,6734
296,3.83,9781402714573,213,420.0,42
297,3.83,9781416500292,245,5967.0,276
298,3.83,9780689854682,64,104.0,14
299,3.83,9780517221143,272,56.0,4
302,4.05,9781577658054,232,91.0,16
313,4.61,9780933121188,270,88.0,4
324,4.07,9780785950103,448,63.0,7
330,4.04,9780394800844,64,2815.0,164
